"","X.1","X","Data.As.Of","Start.Date","End.Date","Group","State","Sex","Age.Group","COVID.19.Deaths","COVID.19.Deaths_factor","Total.Deaths","Pneumonia.Deaths","Pneumonia.and.COVID.19.Deaths","Influenza.Deaths"
"398",398,738,"11/24/2021","1/1/2020","11/20/2021","By Total","Illinois","Male","18-29 years",86,1,3388,78,41,NA
"400",400,740,"11/24/2021","1/1/2020","11/20/2021","By Total","Illinois","Male","30-39 years",240,2,3968,191,122,NA
"402",402,742,"11/24/2021","1/1/2020","11/20/2021","By Total","Illinois","Male","40-49 years",610,3,5804,438,298,NA
"404",404,744,"11/24/2021","1/1/2020","11/20/2021","By Total","Illinois","Male","50-64 years",2618,4,23561,2362,1461,24
"406",406,746,"11/24/2021","1/1/2020","11/20/2021","By Total","Illinois","Male","65-74 years",3437,4,26392,3266,1948,18
"407",407,747,"11/24/2021","1/1/2020","11/20/2021","By Total","Illinois","Male","75-84 years",3762,4,28027,3751,2170,24
"408",408,748,"11/24/2021","1/1/2020","11/20/2021","By Total","Illinois","Male","85 years and over",3350,4,27118,3204,1675,23
"411",411,755,"11/24/2021","1/1/2020","11/20/2021","By Total","Illinois","Female","18-29 years",44,1,1109,43,23,NA
"413",413,757,"11/24/2021","1/1/2020","11/20/2021","By Total","Illinois","Female","30-39 years",147,2,1740,120,72,NA
"415",415,759,"11/24/2021","1/1/2020","11/20/2021","By Total","Illinois","Female","40-49 years",281,2,3057,264,143,NA
"417",417,761,"11/24/2021","1/1/2020","11/20/2021","By Total","Illinois","Female","50-64 years",1451,4,14227,1473,827,23
"419",419,763,"11/24/2021","1/1/2020","11/20/2021","By Total","Illinois","Female","65-74 years",2162,4,19344,2132,1212,17
"420",420,764,"11/24/2021","1/1/2020","11/20/2021","By Total","Illinois","Female","75-84 years",2951,4,26737,2914,1548,32
"421",421,765,"11/24/2021","1/1/2020","11/20/2021","By Total","Illinois","Female","85 years and over",4662,4,44011,3846,1871,47
"424",424,789,"11/24/2021","1/1/2020","11/20/2021","By Total","Indiana","Male","18-29 years",34,1,2172,41,20,NA
